schema	result	cpp_type	notes
AdminApiKeyCreateResponse	PASS	org::openapitools::client::model::AdminApiKeyCreateResponse	allOf, 9 members
AssistantStreamEvent	PASS	org::openapitools::client::model::AssistantStreamEvent	oneOf, 3 members
AssistantsApiResponseFormatOption	PASS	org::openapitools::client::model::AssistantsApiResponseFormatOption	oneOf, 2 members
AssistantsApiToolChoiceOption	PASS	org::openapitools::client::model::AssistantsApiToolChoiceOption	oneOf, 2 members
ChatCompletionModalities	DEFERRED	NOT_FOUND	Deferred (on allowlist)
ChatCompletionRequestAssistantMessageContentPart	PASS	org::openapitools::client::model::ChatCompletionRequestAssistantMessageContentPart	oneOf, 4 members
ChatCompletionRequestMessage	PASS	org::openapitools::client::model::ChatCompletionRequestMessage	oneOf, 8 members
ChatCompletionRequestSystemMessageContentPart	DEFERRED	NOT_FOUND	Deferred (on allowlist)
ChatCompletionRequestToolMessageContentPart	DEFERRED	NOT_FOUND	Deferred (on allowlist)
ChatCompletionRequestUserMessageContentPart	PASS	org::openapitools::client::model::ChatCompletionRequestUserMessageContentPart	oneOf, 6 members
ChatCompletionStreamOptions	PASS	org::openapitools::client::model::ChatCompletionStreamOptions	anyOf, 2 members
ChatCompletionToolChoiceOption	PASS	org::openapitools::client::model::ChatCompletionToolChoiceOption	oneOf, 4 members
ChunkingStrategyRequestParam	PASS	org::openapitools::client::model::ChunkingStrategyRequestParam	oneOf, 2 members
ComputerAction	PASS	org::openapitools::client::model::ComputerAction	oneOf, 9 members
ComputerToolCallOutputResource	PASS	org::openapitools::client::model::ComputerToolCallOutputResource	allOf, 7 members
Content	PASS	org::openapitools::client::model::Content	oneOf, 12 members
ConversationItem	PASS	org::openapitools::client::model::ConversationItem	oneOf, 37 members
ConversationParam	PASS	org::openapitools::client::model::ConversationParam	oneOf, 1 members
CreateChatCompletionRequest	PASS	org::openapitools::client::model::CreateChatCompletionRequest	allOf, 37 members
CreateEvalItem	PASS	org::openapitools::client::model::CreateEvalItem	oneOf, 3 members
CreateModelResponseProperties	PASS	org::openapitools::client::model::CreateModelResponseProperties	allOf, 10 members
CreateResponse	PASS	org::openapitools::client::model::CreateResponse	allOf, 31 members
CreateSpeechResponseStreamEvent	PASS	org::openapitools::client::model::CreateSpeechResponseStreamEvent	anyOf, 3 members
CreateTranscriptionResponseStreamEvent	PASS	org::openapitools::client::model::CreateTranscriptionResponseStreamEvent	anyOf, 10 members
CreateVectorStoreFileBatchRequest	PASS	org::openapitools::client::model::CreateVectorStoreFileBatchRequest	anyOf, 4 members
CustomToolCallOutputResource	PASS	org::openapitools::client::model::CustomToolCallOutputResource	allOf, 7 members
CustomToolCallResource	PASS	org::openapitools::client::model::CustomToolCallResource	allOf, 9 members
DeletedConversation	PASS	org::openapitools::client::model::DeletedConversation	allOf, 3 members
EvalGraderLabelModel	PASS	org::openapitools::client::model::EvalGraderLabelModel	allOf, 6 members
EvalGraderPython	PASS	org::openapitools::client::model::EvalGraderPython	allOf, 5 members
EvalGraderScoreModel	PASS	org::openapitools::client::model::EvalGraderScoreModel	allOf, 7 members
EvalGraderStringCheck	PASS	org::openapitools::client::model::EvalGraderStringCheck	allOf, 5 members
EvalGraderTextSimilarity	PASS	org::openapitools::client::model::EvalGraderTextSimilarity	allOf, 6 members
EvalItemContent	PASS	org::openapitools::client::model::EvalItemContent	oneOf, 6 members
EvalItemContentItem	PASS	org::openapitools::client::model::EvalItemContentItem	oneOf, 6 members
FineTuneChatCompletionRequestAssistantMessage	PASS	org::openapitools::client::model::FineTuneChatCompletionRequestAssistantMessage	allOf, 8 members
FunctionAndCustomToolCallOutput	PASS	org::openapitools::client::model::FunctionAndCustomToolCallOutput	oneOf, 9 members
FunctionToolCallOutputResource	PASS	org::openapitools::client::model::FunctionToolCallOutputResource	allOf, 7 members
FunctionToolCallResource	PASS	org::openapitools::client::model::FunctionToolCallResource	allOf, 9 members
ImageEditStreamEvent	PASS	org::openapitools::client::model::ImageEditStreamEvent	anyOf, 9 members
ImageGenStreamEvent	PASS	org::openapitools::client::model::ImageGenStreamEvent	anyOf, 9 members
ImageRefParam	PASS	org::openapitools::client::model::ImageRefParam	anyOf, 2 members
InputContent	PASS	org::openapitools::client::model::InputContent	oneOf, 9 members
InputItem	PASS	org::openapitools::client::model::InputItem	oneOf, 36 members
InputMessageResource	PASS	org::openapitools::client::model::InputMessageResource	allOf, 5 members
InputParam	FAIL	org::openapitools::client::model::InputParam	EMPTY SHELL (oneOf, 0 members) | EXPECTED std::variant<std::string, std::vector<InputItem>>
Item	PASS	org::openapitools::client::model::Item	oneOf, 35 members
ItemResource	PASS	org::openapitools::client::model::ItemResource	oneOf, 37 members
MessageStreamEvent	PASS	org::openapitools::client::model::MessageStreamEvent	oneOf, 2 members
Metadata	DEFERRED	NOT_FOUND	Deferred (on allowlist)
ModelIds	FAIL	org::openapitools::client::model::ModelIds	EMPTY SHELL (anyOf, 0 members) | EXPECTED std::string
ModelIdsCompaction	FAIL	org::openapitools::client::model::ModelIdsCompaction	EMPTY SHELL (anyOf, 0 members) | EXPECTED std::string
ModelIdsResponses	FAIL	org::openapitools::client::model::ModelIdsResponses	EMPTY SHELL (anyOf, 0 members) | EXPECTED std::string
ModelIdsShared	FAIL	org::openapitools::client::model::ModelIdsShared	EMPTY SHELL (anyOf, 0 members) | EXPECTED std::string
OutputContent	PASS	org::openapitools::client::model::OutputContent	oneOf, 5 members
OutputItem	PASS	org::openapitools::client::model::OutputItem	oneOf, 37 members
OutputMessageContent	PASS	org::openapitools::client::model::OutputMessageContent	oneOf, 5 members
PartialImages	DEFERRED	NOT_FOUND	Deferred (on allowlist)
Prompt	PASS	org::openapitools::client::model::Prompt	anyOf, 3 members
RealtimeAudioFormats	PASS	org::openapitools::client::model::RealtimeAudioFormats	anyOf, 2 members
RealtimeClientEvent	PASS	org::openapitools::client::model::RealtimeClientEvent	anyOf, 11 members
RealtimeConversationItem	PASS	org::openapitools::client::model::RealtimeConversationItem	anyOf, 16 members
RealtimeServerEvent	PASS	org::openapitools::client::model::RealtimeServerEvent	anyOf, 31 members
RealtimeTranslationClientEvent	PASS	org::openapitools::client::model::RealtimeTranslationClientEvent	anyOf, 4 members
RealtimeTranslationServerEvent	PASS	org::openapitools::client::model::RealtimeTranslationServerEvent	anyOf, 9 members
RealtimeTruncation	PASS	org::openapitools::client::model::RealtimeTruncation	oneOf, 3 members
RealtimeTurnDetection	PASS	org::openapitools::client::model::RealtimeTurnDetection	anyOf, 8 members
ReasoningEffort	FAIL	org::openapitools::client::model::ReasoningEffort	EMPTY SHELL (anyOf, 0 members)
Response	PASS	org::openapitools::client::model::Response	allOf, 35 members
ResponseError	PASS	org::openapitools::client::model::ResponseError	anyOf, 2 members
ResponseModalities	DEFERRED	NOT_FOUND	Deferred (on allowlist)
ResponsePromptVariables	DEFERRED	NOT_FOUND	Deferred (on allowlist)
ResponseStreamEvent	PASS	org::openapitools::client::model::ResponseStreamEvent	anyOf, 24 members
ResponseStreamOptions	PASS	org::openapitools::client::model::ResponseStreamOptions	anyOf, 1 members
ResponsesClientEvent	PASS	org::openapitools::client::model::ResponsesClientEvent	anyOf, 32 members
ResponsesClientEventResponseCreate	PASS	org::openapitools::client::model::ResponsesClientEventResponseCreate	allOf, 32 members
ResponsesServerEvent	PASS	org::openapitools::client::model::ResponsesServerEvent	anyOf, 24 members
RunCompletionUsage	PASS	org::openapitools::client::model::RunCompletionUsage	anyOf, 3 members
RunStepCompletionUsage	PASS	org::openapitools::client::model::RunStepCompletionUsage	anyOf, 3 members
RunStepStreamEvent	PASS	org::openapitools::client::model::RunStepStreamEvent	oneOf, 2 members
RunStreamEvent	PASS	org::openapitools::client::model::RunStreamEvent	oneOf, 2 members
ServiceTier	FAIL	org::openapitools::client::model::ServiceTier	EMPTY SHELL (anyOf, 0 members)
StopConfiguration	FAIL	org::openapitools::client::model::StopConfiguration	EMPTY SHELL (oneOf, 0 members)
TextResponseFormatConfiguration	PASS	org::openapitools::client::model::TextResponseFormatConfiguration	oneOf, 5 members
ThreadStreamEvent	PASS	org::openapitools::client::model::ThreadStreamEvent	oneOf, 3 members
Tool	PASS	org::openapitools::client::model::Tool	oneOf, 42 members
ToolChoiceParam	PASS	org::openapitools::client::model::ToolChoiceParam	oneOf, 5 members
TranscriptionChunkingStrategy	PASS	org::openapitools::client::model::TranscriptionChunkingStrategy	oneOf, 4 members
VectorStoreFileAttributes	DEFERRED	NOT_FOUND	Deferred (on allowlist)
Verbosity	FAIL	org::openapitools::client::model::Verbosity	EMPTY SHELL (anyOf, 0 members)
VoiceIdsOrCustomVoice	PASS	org::openapitools::client::model::VoiceIdsOrCustomVoice	anyOf, 1 members
VoiceIdsShared	FAIL	org::openapitools::client::model::VoiceIdsShared	EMPTY SHELL (anyOf, 0 members)
